the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng
0101000020E610000095500EA7B6CA52C0676E5E818FF94340,0101000020110F00003C6BAD1F7BEB5FC1D101BB95C2885241,297,172044,Ne 16th/Walnut,yes,39.94969193564321,-75.16739822767188
0101000020E6100000F797EC7631CA52C0762201181DFA4340,0101000020110F0000C675F7E398EA5FC1D16073735F895241,298,172045,Ne 12th/Arch,yes,39.95401287131692,-75.15926907639356
0101000020E6100000FD32F355DCCA52C0A01D900147FA4340,0101000020110F0000EBD3E521BBEB5FC1E59A3CE38D895241,299,172046,Sw 18th/Parkway,yes,39.95529193436528,-75.1696982264511
0101000020E6100000FC65C8DEAEC952C07352C4A3FBF94340,0101000020110F0000603A1C10BBE95FC158C7E2623A895241,300,172047,Ne 7th/Arch,yes,39.95299193464316,-75.15129823274759
0101000020E61000002B986E7D7BCA52C0866557D9E5F94340,0101000020110F000015A64FA116EB5FC1A5D2763E22895241,301,172048,"17th & Cherry, N",yes,39.95232693450366,-75.1637872295402
0101000020E61000009850974AD2CA52C0A52713B77FFA4340,0101000020110F0000F0952F12AAEB5FC1B0C83AB8CC895241,302,172049,Ne 18th/Race,yes,39.95702255664154,-75.16908516671026
0101000020E6100000CB120B8C16CA52C0FD89EB2212FA4340,0101000020110F00009BA81C2B6BEA5FC1CEFE994F53895241,303,172051,Se 11th/Arch,yes,39.9536784792035,-75.15762616235149
0101000020E6100000B06C3BC8D5CA52C093E9FA2C3DFA4340,0101000020110F0000FC082000B0EB5FC12CB9F9FE82895241,304,172052,Nw 17th/Parkway,no,39.954991934314556,-75.1692982273405
0101000020E610000052953AD9F2CC52C0A7D839E04CFB4340,0101000020110F0000696F630E47EF5FC179CE940BB08A5241,305,172053,Nw 40th/Lancaster,no,39.96328356575514,-75.2023222992041
0101000020E6100000382452D38AC952C0EB6DC9CE82F84340,0101000020110F0000C96D56D67DE95FC12495E9EB98875241,306,172056,Se 4th/South,no,39.941491936067756,-75.1490982343829
0101000020E6100000DEC516284CCA52C01C9227F84DF94340,0101000020110F0000B0DBC83AC6EA5FC10E7714FB79885241,307,172058,Sw 12th/Locust,no,39.947691935845995,-75.1608982298271
0101000020E6100000B916183F17CA52C08933A26416FA4340,0101000020110F000015713F5B6CEA5FC1C843EE0658895241,308,172059,NE 11th/Arch,no,39.953808383178576,-75.15766885139864
